yagoID	actorName	yagoTitle	imdbTitle	imdbActors	yagoDate	imdbDate	matchDate	matchActor	matchYear	matchBoth
id_LogLhNSC31_5yq_7zgbdHL2zz	Ali actor	Kalavar_King	Kalavar King	['Nikhil Siddharth', ' Shweta Prasad', ' Ajay', ' Suman Shetty']	2010-02-26	2010-02-26	1	No	Yes	No
id_LogLhNSC31_5yq_1RJhkSsUx?	Ali actor	Chirutha	Chirutha	['Neha Sharma', ' Prakash Raj', ' Ashish Vidyarthi', ' Dharmavarapu Subramanyam']	2007-09-28	2007-09-28	1	No	Yes	No
id_LogLhNSC31_5yq_6fcpGV?9Ll	Ali actor	Premabhishekam	Premabhishekam	['Ali', ' Brahmanandam', ' Venu Madhav', ' Ittipol Varuthirakorn']	2008-03-14	NaT	0	No	Yes	No
id_LogLhNSC31_5yq_Q1VASZX0Iv	Ali actor	Hungama	Hungama	['Akshaye Khanna', ' Aftab Shivdasani', ' Rimi Sen', ' Paresh Rawal']	2005-04-28	2003-08-01	0	No	No	No
id_LogLhNSC31_5yq_E76IHJt8F4	Ali actor	Gunde_Jaari_Gallanthayyinde	Gunde Jaari Gallanthayyinde	['Nithiin', ' Nithya Menon', ' Isha Talwar', ' Ali']	2013-04-19	2013-04-19	1	No	Yes	No
id_LogLhNSC31_5yq_x?R0ATpBWN	Ali actor	Donga_Sachinollu	Donga Sachinollu	['Krishna Bhagavan', ' Brahmanandam', ' Rambha']	2008	2008-04-25	0	No	Yes	No
id_LogLhNSC31_5yq_pvmW7mQOI?	Ali actor	Yamaleela	Yamaleela	['Satyanarayana Kaikala', ' Ali', ' Brahmanandam', ' Indraja']	1994-04-28	NaT	0	No	Yes	No
id_LogLhNSC31_5yq_oO6TgMLlIU	Ali actor	Desamuduru	Desamuduru	['Allu Arjun', ' Hansika Motwani', ' Pradeep Singh Rawat', ' Ali']	2007-01-12	2007-01-12	1	No	Yes	No
id_LogLhNSC31_5yq_K4yV18ENPu	Ali actor	Ek_Niranjan	Ek Niranjan	['Abhinayasri', ' Ali', ' Tanikella Bharani', ' Brahmaji']	2009-10-29	2009-10-29	1	No	Yes	No
id_Bz2gEubvFg_5yq_YiljmfBRDg	Ali Asgar actor	Joru_Ka_Ghulam	Joru Ka Ghulam	['Govinda', ' Twinkle Khanna', ' Kader Khan', ' Ashok Saraf']	2000-06-16	2000-06-16	1	No	Yes	No
id_Bz2gEubvFg_5yq_FzzTpsnkCy	Ali Asgar actor	Jaan_Tere_Naam	Jaan Tere Naam	['Vijay Arora', ' Ali Asgar', ' Ravi Baswani', ' Joan David']	1992-02-21	NaT	0	No	Yes	No
id_Bz2gEubvFg_5yq_RWnyCKQ2?U	Ali Asgar actor	Solid_Patels	Solid Patels	['Shiv Pandit', ' Shazahn Padamsee', ' Kettan Singh', ' Ali Asgar']	2015-05-22	NaT	0	No	No	No
