id_dFxouXuWGF_5yq_AobYTDrAlI	Aadi_Telugu_actor	actedIn	Lovely	inDateTime	2012-03-30	tt2334727	Lovely	30 Mar 2012	2012	Aadi, Shanvi Srivastava, Rajendraprasad, Chinmayi Ghatrazu
id_dFxouXuWGF_5yq_ohQP5v!T?M	Aadi_Telugu_actor	actedIn	Galipatam	inDateTime	2014-08-08	tt3837160	Galipatam	08 Aug 2014	2014	Aadi, Kristina Akheeva, Erica Fernandes, Rahul Ravindran
id_dFxouXuWGF_5yq_qw9I9Xx026	Aadi_Telugu_actor	actedIn	Pyar_Mein_Padipoyane	inDateTime	2014-05-10	tt6543328	Pyar Mein Padipoyane	N/A	2014	N/A
id_dFxouXuWGF_5yq_DM9Bkkj1i3	Aadi_Telugu_actor	actedIn	Sukumarudu	inDateTime	2013-05-10	tt2857746	Sukumarudu	10 May 2013	2013	Aadi, Nisha Agarwal, Krishna Ghattamaneni, Neelam Upadhyaya
id_H2d5C6i9K3_5yq_6drsXDFs6m	Aaditi_Pohankar	actedIn	Gemini_Ganeshanum_Suruli_Raajanum	inDateTime	2017-05-28	tt7088074	Gemini Ganeshanum Suruli Raajanum	13 Jul 2017	2017	Atharvaa, Regina Cassandra, Aditi Sudhir Pohankar, Pranitha
id_H2d5C6i9K3_5yq_UH4Dix31SD	Aaditi_Pohankar	actedIn	Lai_Bhaari	inDateTime	2014-07-11	tt3850798	Lai Bhaari	11 Jul 2014	2014	Riteish Deshmukh, Radhika Apte, Tanvi Azmi, Uday Tikekar
id_ZQnSnZx3st_5yq_0VgLexRku2	Aadukalam_Murugadoss	actedIn	Visaranai	inDateTime	2015-09-12	tt4425388	Pulan Visaranai 2	30 Jan 2015	2015	Prashanth, Karthika, Ashwini, Mansoor Ali Khan
id_fee3cF?Qo4_5yq_w27pkfvn5f	Aadukalam_Naren	actedIn	Eetti	inDateTime	2015-12-11	tt5290414	Eetti	11 Dec 2015	2015	Atharvaa Murali, Sri Divya, V. Jayaprakash, Aadukalam Naren
id_fee3cF?Qo4_5yq_ra3aF3jAoM	Aadukalam_Naren	actedIn	Sarabham	inDateTime	2014-08-01	tt3824442	Sarabham	01 Aug 2014	2014	Naveen Chandra, Salony Luthra, Aadukalam Naren, Kadhal Kannan
id_fee3cF?Qo4_5yq_8cyIOJYnDy	Aadukalam_Naren	actedIn	Nanjupuram	inDateTime	2011-04-01	tt4328084	Nanjupuram	01 Mar 2011	2011	Anuya Bhagwat, Mounika, Aadukalam Naren, Priya
id_FeGH?xoSbc_5yq_4!Zc22ghX6	Aadya_Bedi	actedIn	Fireflies	inDateTime	2014-10-31	tt0881913	Fireflies	10 Oct 2006	2006	Brian Delate, Dan Frazer, Isabel Glasser, Kate Mara
id_CrcilYq7H8_5yq_ujbbDQGmpK	Aage_Fønss	actedIn	Besættelse	inDateTime	1944-##-##	tt0125672	Besættelse	27 Oct 1944	1944	Johannes Meyer, Berthe Qvistgaard, Aage Fønss, Poul Reichhardt
id_Bs0WLOdtGA_5yq_AW64cgemsm	Aahana_Kumra	actedIn	Kudla_Cafe	inDateTime	2016-02-03	tt5281318	Kudla Cafe	12 Feb 2016	2016	Aahana Kumra, Naveen D. Padil
id_Bs0WLOdtGA_5yq_vFYgnbm!je	Aahana_Kumra	actedIn	Lipstick_Under_My_Burkha	inDateTime	2016-12-02	tt4807830	Lipstick Under My Burkha	08 Sep 2017	2016	Aahana Kumra, Ratna Pathak Shah, Konkona Sen Sharma, Plabita Borthakur
id_qIi29wY6ju_5yq_HswLCpvxYH	Aakash_Dahiya	actedIn	Meeruthiya_Gangsters	inDateTime	2015-09-18	tt4117066	Meeruthiya Gangsters	18 Sep 2015	2015	Jaideep Ahlawat, Aakash Dahiya, Jatin Sarna, Shadab Kamal
id_Y6tMYgfKGd_5yq_0xgxfYFb5c	Aaliyah	actedIn	Romeo_Must_Die	inDateTime	2000-03-22	tt0165929	Romeo Must Die	22 Mar 2000	2000	Jet Li, Aaliyah, Isaiah Washington, Russell Wong
id_Y6tMYgfKGd_5yq_SBUBazk8Gm	Aaliyah	actedIn	Queen_of_the_Damned	inDateTime	2002-02-22	tt0238546	Queen of the Damned	22 Feb 2002	2002	Aaliyah, Stuart Townsend, Marguerite Moreau, Vincent Perez
id_Y6tMYgfKGd_5yq_m2DbufNUU4	Aaliyah	actedIn	Anhoni	inDateTime	1973-12-21	tt1603791	Anhoni	N/A	1993	Nadeem Baig, Asad Malik, Neeli
id_s?rSM3NEyq_5yq_yTmFppGWqS	Aamani	actedIn	Shubhalagnam	inDateTime	1994-09-25	tt0267927	Shubhalagnam	N/A	1994	Jagapathi Babu, Aamani, Roja, Suhasini
id_s?rSM3NEyq_5yq_6d4JOADOAQ	Aamani	actedIn	Subhamastu	inDateTime	1995-##-##	tt5953556	Srirastu Subhamastu	05 Aug 2016	2016	Allu Sirish, Lavanya Tripathi, Ali, Tanikella Bharani
id_s?rSM3NEyq_5yq_?7uKUVC2Oo	Aamani	actedIn	Teerpu	inDateTime	1994-06-22	tt1431124	O Thandri Teerpu	N/A	1985	Gummadi, Jayasudha, Satyanarayana Kaikala, Murali Mohan
id_s?rSM3NEyq_5yq_nO2AQ9p4PT	Aamani	actedIn	Chandamama_Kathalu	inDateTime	2014-04-25	tt3496054	Chandamama Kathalu	25 Apr 2014	2014	Naresh, Aamani, Abhijeeth, Amani
id_s?rSM3NEyq_5yq_a?sTXWYtMj	Aamani	actedIn	Maya_Bazaar	inDateTime	1995-05-04	tt0249795	Maya Bazaar	27 Mar 1957	1957	Taraka Rama Rao Nandamuri, S.V. Ranga Rao, Savitri, Akkineni Nageshwara Rao
id_s?rSM3NEyq_5yq_qT?T6FOcoi	Aamani	actedIn	Subha_Sankalpam	inDateTime	1995-07-13	tt0181032	Subha Sankalpam	N/A	1995	Kamal Haasan, K. Viswanath, Aamani, Priya Raman
id_s?rSM3NEyq_5yq_FD!!pzLpz1	Aamani	actedIn	Jamba_Lakidi_Pamba	inDateTime	1993-##-##	tt8071688	Jamba Lakidi Pamba	22 Jun 2018	2018	Srinivasa Reddy, Siddhi Idnani, Vennela Kishore, Krishna Murali Posani
id_s?rSM3NEyq_5yq_SglIzaB1QQ	Aamani	actedIn	Aa_Naluguru	inDateTime	2004-12-09	tt1601792	Aa Naluguru	09 Dec 2004	2004	Rajendraprasad, Aamani, Raja, Raghu Babu
